Nom;Q_Nombre;Q_Top15;Q_Top10;Q_Poles;Q_Meilleur;Q_Moyenne;S_Nombre;S_Top8;S_Podiums;S_Victoires;S_Meilleur;S_Moyenne;C_Nombre;C_Abandons;C_Top10;C_Podiums;C_Victoires;C_Meilleur;C_Moyenne
Mercedes;24;24;24;0;2;4.79;4;3;0;0;6;7.25;24;4;19;6;1;1;6.71
RedBull;24;23;21;5;1;5.17;4;4;4;0;2;2.5;24;5;17;11;4;1;7.54
Ferrari;24;23;23;7;1;3.5;4;4;2;2;1;2.5;24;4;19;14;7;1;5.58
McLaren;24;21;13;0;3;10.5;4;1;0;0;5;12.0;24;13;9;0;0;4;13.29
Alpine;24;23;19;0;4;8.79;4;2;0;0;5;9.25;24;2;19;5;0;3;7.67
AlphaTauri;22;20;7;0;6;11.09;4;1;0;0;8;10.25;22;6;10;0;0;6;12.09
AstonMartin;24;4;0;0;12;17.38;4;0;0;0;14;16.0;24;6;4;0;0;7;13.75
Williams;22;6;1;0;8;16.14;4;0;0;0;15;17.25;22;3;4;0;0;5;12.5
AlfaRomeo;24;20;7;0;7;12.58;4;0;0;0;11;14.25;24;5;10;0;0;6;12.21
Haas;24;16;5;0;7;14.0;4;1;0;0;6;13.75;24;4;9;0;0;5;12.38

Mercedes;24;24;19;6;1;5.54;4;4;1;0;2;5.25;24;3;19;13;5;1;5.79
RedBull;23;14;10;0;3;11.96;4;1;0;0;4;11.25;23;5;13;4;1;1;9.83
Ferrari;24;23;18;4;1;6.0;4;4;3;2;1;2.5;24;8;11;8;3;1;10.0
McLaren;23;16;10;0;6;12.39;4;1;0;0;8;14.25;23;13;7;1;0;3;13.17
Alpine;24;14;4;0;7;14.25;4;1;0;0;6;14.75;24;12;10;1;0;2;13.17
AlphaTauri;22;15;8;0;2;11.45;4;2;1;0;3;7.5;24;10;10;1;0;2;11.79
AstonMartin;24;19;10;1;1;11.46;4;0;0;0;9;15.5;24;6;9;2;1;1;10.96
Williams;24;12;6;0;3;13.75;4;0;0;0;11;13.25;24;9;10;1;1;1;12.08
AlfaRomeo;24;22;21;0;2;7.17;4;1;0;0;4;12.75;24;5;16;2;1;1;8.54
Haas;24;21;14;1;1;9.71;4;2;1;0;2;8.0;24;4;15;3;0;3;8.96

Mercedes;24;14;8;1;1;12.04;4;2;1;1;1;7.75;24;5;13;4;0;2;10.29
RedBull;24;20;16;0;2;9.0;4;2;1;0;3;10.75;24;6;13;3;2;1;10.58
Ferrari;24;21;15;2;1;9.46;4;2;2;1;1;6.25;24;6;9;4;2;1;10.75
McLaren;23;17;6;0;6;13.39;4;1;0;0;7;11.75;23;16;4;0;0;5;15.13
Alpine;24;12;6;1;1;13.54;4;1;0;0;7;13.75;24;6;10;3;1;1;11.58
AlphaTauri;23;16;8;0;3;12.57;4;1;0;0;8;12.25;23;13;7;0;0;4;13.78
AstonMartin;24;15;6;0;3;13.33;4;0;0;0;14;14.75;24;2;11;0;0;6;11.08
Williams;24;17;12;0;3;11.46;4;2;0;0;5;8.75;24;2;15;3;1;1;8.79
AlfaRomeo;24;24;22;4;1;4.71;4;3;1;0;2;7.75;24;1;22;12;4;1;4.46
Haas;24;24;21;4;1;4.92;4;2;1;0;2;11.25;24;3;16;7;2;1;8.08

Mercedes;24;16;11;0;4;11.92;4;1;1;0;3;11.5;24;6;13;3;0;2;10.83
RedBull;24;16;4;0;6;13.29;4;1;0;0;8;12.25;24;6;10;2;0;3;11.46
Ferrari;24;20;16;2;1;8.17;4;3;0;0;4;8.0;24;6;12;4;1;1;10.58
McLaren;24;23;21;2;1;7.5;4;0;0;0;11;17.5;24;4;19;8;3;1;6.67
Alpine;24;14;10;0;2;12.0;4;2;0;0;5;11.0;24;11;9;2;1;1;12.54
AlphaTauri;24;15;5;0;4;13.54;4;0;0;0;9;13.5;24;8;11;0;0;4;10.79
AstonMartin;23;15;6;0;2;13.35;4;1;1;0;2;11.5;23;8;8;1;0;3;12.48
Williams;24;20;13;0;3;10.33;4;3;0;0;5;7.25;24;8;10;0;0;5;11.5
AlfaRomeo;24;23;20;4;1;5.54;4;3;3;1;1;3.75;24;5;17;10;5;1;7.08
Haas;24;18;14;4;1;9.08;4;2;1;1;1;8.75;24;8;11;6;2;1;10.75
